'OpenML_Dataset_ID','Dataset_Name','Attribute_Name','Attribute_Type'
4,'labor','duration','Nominal'
4,'labor','wage-increase-first-year','Numeric'
4,'labor','wage-increase-second-year','Numeric'
4,'labor','wage-increase-third-year','Nominal'
4,'labor','cost-of-living-adjustment','Nominal'
4,'labor','working-hours','Nominal'
4,'labor','pension','Nominal'
4,'labor','standby-pay','Nominal'
4,'labor','shift-differential','Nominal'
4,'labor','education-allowance','Nominal'
4,'labor','statutory-holidays','Nominal'
4,'labor','vacation','Nominal'
4,'labor','longterm-disability-assistance','Nominal'
4,'labor','contribution-to-dental-plan','Nominal'
4,'labor','bereavement-assistance','Nominal'
4,'labor','contribution-to-health-plan','Nominal'
4,'labor','class','Nominal'
5,'arrhythmia','age','Numeric'
5,'arrhythmia','sex','Nominal'
5,'arrhythmia','height','Numeric'
5,'arrhythmia','weight','Numeric'
5,'arrhythmia','QRSduration','Numeric'
5,'arrhythmia','PRinterval','Numeric'
5,'arrhythmia','Q-Tinterval','Numeric'
5,'arrhythmia','Tinterval','Numeric'
5,'arrhythmia','Pinterval','Numeric'
5,'arrhythmia','QRS','Numeric'
5,'arrhythmia','T','Numeric'
5,'arrhythmia','P','Numeric'
5,'arrhythmia','QRST','Numeric'
5,'arrhythmia','J','Numeric'
5,'arrhythmia','heartrate','Numeric'
5,'arrhythmia','chDI_Qwave','Nominal'
5,'arrhythmia','chDI_Rwave','Numeric'
5,'arrhythmia','chDI_Swave','Numeric'
5,'arrhythmia','chDI_RPwave','Nominal'
5,'arrhythmia','chDI_SPwave','Nominal'
5,'arrhythmia','chDI_intrinsicReflecttions','Numeric'
5,'arrhythmia','chDI_RRwaveExists','Nominal'
5,'arrhythmia','chDI_DD_RRwaveExists','Nominal'
5,'arrhythmia','chDI_RPwaveExists','Nominal'
5,'arrhythmia','chDI_DD_RPwaveExists','Nominal'
5,'arrhythmia','chDI_RTwaveExists','Nominal'
5,'arrhythmia','chDI_DD_RTwaveExists','Nominal'
5,'arrhythmia','chDII_Qwave','Nominal'
5,'arrhythmia','chDII_Rwave','Numeric'
5,'arrhythmia','chDII_Swave','Numeric'
5,'arrhythmia','chDII_RPwave','Nominal'
5,'arrhythmia','chDII_SPwave','Nominal'
5,'arrhythmia','chDII_intrinsicReflecttions','Numeric'
5,'arrhythmia','chDII_RRwaveExists','Nominal'
5,'arrhythmia','chDII_DD_RRwaveExists','Nominal'
5,'arrhythmia','chDII_RPwaveExists','Nominal'
5,'arrhythmia','chDII_DD_RPwaveExists','Nominal'
5,'arrhythmia','chDII_RTwaveExists','Nominal'
5,'arrhythmia','chDII_DD_RTwaveExists','Nominal'
5,'arrhythmia','chDIII_Qwave','Numeric'
5,'arrhythmia','chDIII_Rwave','Numeric'
5,'arrhythmia','chDIII_Swave','Numeric'
5,'arrhythmia','chDIII_RPwave','Numeric'
5,'arrhythmia','chDIII_SPwave','Nominal'
5,'arrhythmia','chDIII_intrinsicReflecttions','Numeric'
5,'arrhythmia','chDIII_RRwaveExists','Nominal'
5,'arrhythmia','chDIII_DD_RRwaveExists','Nominal'
5,'arrhythmia','chDIII_RPwaveExists','Nominal'
5,'arrhythmia','chDIII_DD_RPwaveExists','Nominal'
5,'arrhythmia','chDIII_RTwaveExists','Nominal'
5,'arrhythmia','chDIII_DD_RTwaveExists','Nominal'
5,'arrhythmia','chAVR_Qwave','Numeric'
5,'arrhythmia','chAVR_Rwave','Numeric'
5,'arrhythmia','chAVR_Swave','Nominal'
5,'arrhythmia','chAVR_RPwave','Nominal'
5,'arrhythmia','chAVR_SPwave','Nominal'
5,'arrhythmia','chAVR_intrinsicReflecttions','Numeric'
5,'arrhythmia','chAVR_RRwaveExists','Nominal'
5,'arrhythmia','chAVR_DD_RRwaveExists','Nominal'
5,'arrhythmia','chAVR_RPwaveExists','Nominal'
5,'arrhythmia','chAVR_DD_RPwaveExists','Nominal'
5,'arrhythmia','chAVR_RTwaveExists','Nominal'
5,'arrhythmia','chAVR_DD_RTwaveExists','Nominal'
5,'arrhythmia','chAVL_Qwave','Numeric'
5,'arrhythmia','chAVL_Rwave','Numeric'
5,'arrhythmia','chAVL_Swave','Numeric'
5,'arrhythmia','chAVL_RPwave','Nominal'
5,'arrhythmia','chAVL_SPwave','Nominal'
5,'arrhythmia','chAVL_intrinsicReflecttions','Numeric'
5,'arrhythmia','chAVL_RRwaveExists','Nominal'
5,'arrhythmia','chAVL_DD_RRwaveExists','Nominal'
5,'arrhythmia','chAVL_RPwaveExists','Nominal'
5,'arrhythmia','chAVL_DD_RPwaveExists','Nominal'
5,'arrhythmia','chAVL_RTwaveExists','Nominal'
5,'arrhythmia','chAVL_DD_RTwaveExists','Nominal'
5,'arrhythmia','chAVF_Qwave','Numeric'
5,'arrhythmia','chAVF_Rwave','Numeric'
5,'arrhythmia','chAVF_Swave','Numeric'
5,'arrhythmia','chAVF_RPwave','Nominal'
5,'arrhythmia','chAVF_SPwave','Nominal'
5,'arrhythmia','chAVF_intrinsicReflecttions','Numeric'
5,'arrhythmia','chAVF_RRwaveExists','Nominal'
5,'arrhythmia','chAVF_DD_RRwaveExists','Nominal'
5,'arrhythmia','chAVF_RPwaveExists','Nominal'
5,'arrhythmia','chAVF_DD_RPwaveExists','Nominal'
5,'arrhythmia','chAVF_RTwaveExists','Nominal'
5,'arrhythmia','chAVF_DD_RTwaveExists','Nominal'
5,'arrhythmia','chV1_Qwave','Numeric'
5,'arrhythmia','chV1_Rwave','Numeric'
5,'arrhythmia','chV1_Swave','Numeric'
5,'arrhythmia','chV1_RPwave','Numeric'
5,'arrhythmia','chV1_SPwave','Nominal'
5,'arrhythmia','chV1_intrinsicReflecttions','Numeric'
5,'arrhythmia','chV1_RRwaveExists','Nominal'
5,'arrhythmia','chV1_DD_RRwaveExists','Nominal'
5,'arrhythmia','chV1_RPwaveExists','Nominal'
5,'arrhythmia','chV1_DD_RPwaveExists','Nominal'
5,'arrhythmia','chV1_RTwaveExists','Nominal'
5,'arrhythmia','chV1_DD_RTwaveExists','Nominal'
5,'arrhythmia','chV2_Qwave','Numeric'
5,'arrhythmia','chV2_Rwave','Numeric'
5,'arrhythmia','chV2_Swave','Numeric'
5,'arrhythmia','chV2_RPwave','Nominal'
5,'arrhythmia','chV2_SPwave','Nominal'
5,'arrhythmia','chV2_intrinsicReflecttions','Numeric'
5,'arrhythmia','chV2_RRwaveExists','Nominal'
5,'arrhythmia','chV2_DD_RRwaveExists','Nominal'
5,'arrhythmia','chV2_RPwaveExists','Nominal'
5,'arrhythmia','chV2_DD_RPwaveExists','Nominal'
5,'arrhythmia','chV2_RTwaveExists','Nominal'
5,'arrhythmia','chV2_DD_RTwaveExists','Nominal'
5,'arrhythmia','chV3_Qwave','Nominal'
5,'arrhythmia','chV3_Rwave','Numeric'
5,'arrhythmia','chV3_Swave','Numeric'
5,'arrhythmia','chV3_RPwave','Nominal'
5,'arrhythmia','chV3_SPwave','Nominal'
5,'arrhythmia','chV3_intrinsicReflecttions','Numeric'
5,'arrhythmia','chV3_RRwaveExists','Nominal'
5,'arrhythmia','chV3_DD_RRwaveExists','Nominal'
5,'arrhythmia','chV3_RPwaveExists','Nominal'
5,'arrhythmia','chV3_DD_RPwaveExists','Nominal'
5,'arrhythmia','chV3_RTwaveExists','Nominal'
5,'arrhythmia','chV3_DD_RTwaveExists','Nominal'
5,'arrhythmia','chV4_Qwave','Nominal'
5,'arrhythmia','chV4_Rwave','Numeric'
5,'arrhythmia','chV4_Swave','Numeric'
5,'arrhythmia','chV4_RPwave','Nominal'
5,'arrhythmia','chV4_SPwave','Nominal'
5,'arrhythmia','chV4_intrinsicReflecttions','Nominal'
5,'arrhythmia','chV4_RRwaveExists','Nominal'
5,'arrhythmia','chV4_DD_RRwaveExists','Nominal'
5,'arrhythmia','chV4_RPwaveExists','Nominal'
5,'arrhythmia','chV4_DD_RPwaveExists','Nominal'
5,'arrhythmia','chV4_RTwaveExists','Nominal'
5,'arrhythmia','chV4_DD_RTwaveExists','Nominal'
5,'arrhythmia','chV5_Qwave','Nominal'
5,'arrhythmia','chV5_Rwave','Numeric'
5,'arrhythmia','chV5_Swave','Numeric'
5,'arrhythmia','chV5_RPwave','Nominal'
5,'arrhythmia','chV5_SPwave','Nominal'
5,'arrhythmia','chV5_intrinsicReflecttions','Numeric'
5,'arrhythmia','chV5_RRwaveExists','Nominal'
5,'arrhythmia','chV5_DD_RRwaveExists','Nominal'
5,'arrhythmia','chV5_RPwaveExists','Nominal'
5,'arrhythmia','chV5_DD_RPwaveExists','Nominal'
5,'arrhythmia','chV5_RTwaveExists','Nominal'
5,'arrhythmia','chV5_DD_RTwaveExists','Nominal'
5,'arrhythmia','chV6_Qwave','Nominal'
5,'arrhythmia','chV6_Rwave','Numeric'
5,'arrhythmia','chV6_Swave','Numeric'
5,'arrhythmia','chV6_RPwave','Nominal'
5,'arrhythmia','chV6_SPwave','Nominal'
5,'arrhythmia','chV6_intrinsicReflecttions','Numeric'
5,'arrhythmia','chV6_RRwaveExists','Nominal'
5,'arrhythmia','chV6_DD_RRwaveExists','Nominal'
5,'arrhythmia','chV6_RPwaveExists','Nominal'
5,'arrhythmia','chV6_DD_RPwaveExists','Nominal'
5,'arrhythmia','chV6_RTwaveExists','Nominal'
5,'arrhythmia','chV6_DD_RTwaveExists','Nominal'
5,'arrhythmia','chDI_JJwaveAmp','Numeric'
5,'arrhythmia','chDI_QwaveAmp','Numeric'
5,'arrhythmia','chDI_RwaveAmp','Numeric'
5,'arrhythmia','chDI_SwaveAmp','Numeric'
5,'arrhythmia','chDI_RPwaveAmp','Nominal'
5,'arrhythmia','chDI_SPwaveAmp','Nominal'
5,'arrhythmia','chDI_PwaveAmp','Numeric'
5,'arrhythmia','chDI_TwaveAmp','Numeric'
5,'arrhythmia','chDI_QRSA','Numeric'
5,'arrhythmia','chDI_QRSTA','Numeric'
5,'arrhythmia','chDII_JJwaveAmp','Numeric'
5,'arrhythmia','chDII_QwaveAmp','Numeric'
5,'arrhythmia','chDII_RwaveAmp','Numeric'
5,'arrhythmia','chDII_SwaveAmp','Numeric'
5,'arrhythmia','chDII_RPwaveAmp','Nominal'
5,'arrhythmia','chDII_SPwaveAmp','Nominal'
5,'arrhythmia','chDII_PwaveAmp','Numeric'
5,'arrhythmia','chDII_TwaveAmp','Numeric'
5,'arrhythmia','chDII_QRSA','Numeric'
5,'arrhythmia','chDII_QRSTA','Numeric'
5,'arrhythmia','chDIII_JJwaveAmp','Numeric'
