"OpenML_Dataset_ID","Dataset_Name","Attribute_Name","Attribute_Type"
1,"anneal","family","Nominal"
1,"anneal","product-type","Nominal"
1,"anneal","steel","Nominal"
1,"anneal","carbon","Nominal"
1,"anneal","hardness","Nominal"
1,"anneal","temper_rolling","Nominal"
1,"anneal","condition","Nominal"
1,"anneal","formability","Nominal"
1,"anneal","strength","Nominal"
1,"anneal","non-ageing","Nominal"
1,"anneal","surface-finish","Nominal"
1,"anneal","surface-quality","Nominal"
1,"anneal","enamelability","Nominal"
1,"anneal","bc","Nominal"
1,"anneal","bf","Nominal"
1,"anneal","bt","Nominal"
1,"anneal","bw%2Fme","Nominal"
1,"anneal","bl","Nominal"
1,"anneal","m","Nominal"
1,"anneal","chrom","Nominal"
1,"anneal","phos","Nominal"
1,"anneal","cbond","Nominal"
1,"anneal","marvi","Nominal"
1,"anneal","exptl","Nominal"
1,"anneal","ferro","Nominal"
1,"anneal","corr","Nominal"
1,"anneal","blue%2Fbright%2Fvarn%2Fclean","Nominal"
1,"anneal","lustre","Nominal"
1,"anneal","jurofm","Nominal"
1,"anneal","s","Nominal"
1,"anneal","p","Nominal"
1,"anneal","shape","Nominal"
1,"anneal","thick","Numeric"
1,"anneal","width","Numeric"
1,"anneal","len","Numeric"
1,"anneal","oil","Nominal"
1,"anneal","bore","Nominal"
1,"anneal","packing","Nominal"
1,"anneal","class","Nominal"
3,"kr-vs-kp","bkblk","Nominal"
3,"kr-vs-kp","bknwy","Nominal"
3,"kr-vs-kp","bkon8","Nominal"
3,"kr-vs-kp","bkona","Nominal"
3,"kr-vs-kp","bkspr","Nominal"
3,"kr-vs-kp","bkxbq","Nominal"
3,"kr-vs-kp","bkxcr","Nominal"
3,"kr-vs-kp","bkxwp","Nominal"
3,"kr-vs-kp","blxwp","Nominal"
3,"kr-vs-kp","bxqsq","Nominal"
3,"kr-vs-kp","cntxt","Nominal"
3,"kr-vs-kp","dsopp","Nominal"
3,"kr-vs-kp","dwipd","Nominal"
3,"kr-vs-kp","hdchk","Nominal"
3,"kr-vs-kp","katri","Nominal"
3,"kr-vs-kp","mulch","Nominal"
3,"kr-vs-kp","qxmsq","Nominal"
3,"kr-vs-kp","r2ar8","Nominal"
3,"kr-vs-kp","reskd","Nominal"
3,"kr-vs-kp","reskr","Nominal"
3,"kr-vs-kp","rimmx","Nominal"
3,"kr-vs-kp","rkxwp","Nominal"
3,"kr-vs-kp","rxmsq","Nominal"
3,"kr-vs-kp","simpl","Nominal"
3,"kr-vs-kp","skach","Nominal"
3,"kr-vs-kp","skewr","Nominal"
